#K o[k] d[k] q[k] b[k] f[k] p[k] tmax[k] s[k] penalty[k]
663 4 17 36 20 50 9000 26 0 30
664 8 20 47 20 50 9000 28 0 30
665 7 22 50 20 50 11000 18 0 200
666 3 17 3 20 50 9000 29 0 30
667 7 25 47 20 50 9000 24 1 200
668 5 25 50 20 50 9000 31 1 30
669 1 25 50 20 50 9000 22 0 200
670 6 18 50 20 50 11000 18 0 200
671 9 17 19 20 50 9000 21 0 200
672 4 19 10 20 50 9000 37 0 30
673 3 24 49 20 50 9000 21 0 200
674 2 22 31 20 50 9000 24 0 200
675 3 24 17 20 50 11000 20 0 200
676 3 23 26 20 50 9000 21 0 200
677 8 19 50 20 50 9000 23 0 200
678 1 23 5 20 50 9000 24 0 200
679 4 19 24 20 50 9000 28 1 30
680 7 19 34 20 50 11000 20 0 200
681 8 25 50 20 50 9000 23 1 200
682 8 22 26 20 50 9000 22 0 200
683 1 23 50 20 50 9000 26 0 30
684 9 21 32 20 50 9000 24 0 200
685 2 17 8 20 50 11000 16 0 200
686 6 25 24 20 50 9000 26 0 30
687 3 24 2 20 50 9000 26 0 30
688 5 22 40 20 50 9000 23 1 200
689 7 19 38 20 50 9000 24 1 200
690 8 21 34 20 50 11000 17 0 200
691 4 25 50 20 50 9000 34 0 30
692 6 17 14 20 50 9000 22 0 200
693 7 23 30 20 50 9000 28 1 30
694 9 19 6 20 50 9000 30 0 30
695 4 24 50 20 50 11000 20 0 200
696 7 17 21 20 50 9000 28 0 30
697 4 23 34 20 50 9000 27 1 30
698 8 20 11 20 50 9000 38 1 30
699 3 19 5 20 50 9000 24 0 200
700 9 25 27 20 50 11000 19 0 200
701 1 24 21 20 50 9000 25 0 30
702 9 18 47 20 50 9000 21 0 200
703 7 22 45 20 50 9000 28 1 30
704 1 17 35 20 50 9000 23 0 200
705 4 19 50 20 50 11000 17 1 200
706 9 18 21 20 50 9000 21 0 200
707 8 25 10 20 50 9000 26 0 30
708 6 21 34 20 50 9000 29 0 30
709 7 24 24 20 50 9000 21 1 200
710 6 18 41 20 50 11000 16 1 200
711 4 25 50 20 50 9000 28 0 30
712 3 19 50 20 50 9000 25 1 30
713 6 21 20 20 50 9000 22 0 200
714 8 19 50 20 50 9000 23 1 200
715 5 23 46 20 50 11000 16 0 200
716 8 23 23 20 50 9000 24 1 200
717 2 21 11 20 50 9000 28 0 30
718 3 18 50 20 50 9000 24 0 200
719 4 21 37 20 50 9000 29 0 30
720 2 22 45 20 50 11000 16 0 200
721 4 18 40 20 50 9000 31 0 30
722 1 24 31 20 50 9000 31 1 30
723 4 18 4 20 50 9000 23 0 200
724 2 18 50 20 50 9000 21 0 200
725 5 18 50 20 50 11000 15 0 200
726 5 22 50 20 50 9000 30 0 30
727 9 25 49 20 50 9000 21 0 200
728 5 18 50 20 50 9000 23 0 200
729 8 22 43 20 50 9000 29 0 30
730 9 19 48 20 50 11000 15 0 200
731 1 19 50 20 50 9000 23 0 200
732 2 19 50 20 50 9000 21 0 200
733 9 21 48 20 50 9000 31 0 30
734 7 17 31 20 50 9000 27 0 30
735 2 17 36 20 50 11000 20 0 200
736 7 25 45 20 50 9000 28 0 30
737 3 25 50 20 50 9000 25 0 30
738 3 18 26 20 50 9000 31 0 30
739 9 20 36 20 50 9000 23 0 200
740 9 21 22 20 50 11000 16 0 200
741 4 20 50 20 50 9000 23 0 200
742 8 25 41 20 50 9000 22 0 200
743 5 18 3 20 50 9000 26 0 30
744 3 19 35 20 50 9000 21 0 200
745 7 19 5 20 50 11000 15 1 200
746 1 20 36 20 50 9000 31 0 30
747 6 24 8 20 50 9000 34 0 30
748 2 25 48 20 50 9000 21 0 200
749 1 17 8 20 50 9000 22 0 200
750 3 18 8 20 50 11000 17 0 200
751 3 22 23 20 50 9000 26 0 30
752 2 24 50 20 50 9000 21 0 200
753 3 17 40 20 50 9000 23 0 200
754 8 25 34 20 50 9000 24 0 200
755 7 17 12 20 50 11000 17 0 200
756 8 24 31 20 50 9000 24 1 200
757 9 25 50 20 50 9000 22 1 200
758 8 23 50 20 50 9000 29 1 30
759 4 20 28 20 50 9000 21 0 200
760 5 21 47 20 50 11000 20 0 200
761 5 24 3 20 50 9000 35 0 30
762 6 17 50 20 50 9000 30 0 30
763 8 19 44 20 50 9000 26 1 30
764 3 21 35 20 50 9000 34 0 30
765 6 22 40 20 50 11000 19 0 200
766 5 22 49 20 50 9000 28 0 30
767 7 18 11 20 50 9000 22 0 200
768 2 17 50 20 50 9000 23 1 200
769 9 17 50 20 50 9000 28 1 30
770 9 17 32 20 50 11000 20 0 200
771 5 17 35 20 50 9000 22 0 200
772 3 24 41 20 50 9000 26 0 30
773 5 17 46 20 50 9000 21 0 200
774 2 19 6 20 50 9000 32 0 30
775 6 18 32 20 50 11000 17 0 200
776 2 17 50 20 50 9000 26 0 30
777 2 22 40 20 50 9000 34 1 30
778 7 25 33 20 50 9000 28 0 30
779 7 17 42 20 50 9000 24 0 200
780 3 17 33 20 50 11000 18 1 200
781 7 23 33 20 50 9000 21 0 200
782 8 20 44 20 50 9000 27 0 30
783 4 24 35 20 50 9000 24 0 200
784 6 18 50 20 50 9000 22 0 200
785 5 23 26 20 50 11000 19 0 200
786 7 23 49 20 50 9000 21 0 200
787 1 18 12 20 50 9000 30 0 30
788 1 19 50 20 50 9000 21 0 200
789 9 18 50 20 50 9000 27 0 30
790 1 23 47 20 50 11000 17 0 200
791 3 22 45 20 50 9000 35 0 30
792 2 20 37 20 50 9000 25 0 30
793 7 24 50 20 50 9000 26 0 30
794 9 23 46 20 50 9000 25 1 30
795 7 21 48 20 50 11000 15 0 200
796 5 20 14 20 50 9000 31 0 30
797 1 23 9 20 50 9000 21 0 200
798 9 21 4 20 50 9000 22 0 200
799 6 22 50 20 50 9000 32 0 30
800 5 17 33 20 50 11000 19 0 200
801 1 20 31 20 50 9000 30 0 30
802 8 22 50 20 50 9000 23 0 200
803 2 22 31 20 50 9000 25 0 30
804 8 25 40 20 50 9000 21 0 200
805 6 17 50 20 50 11000 20 0 200
806 7 19 16 20 50 9000 21 1 200
807 8 24 50 20 50 9000 22 1 200
808 9 22 38 20 50 9000 27 0 30
809 1 17 25 20 50 9000 29 0 30
810 6 25 46 20 50 11000 16 0 200
811 5 21 50 20 50 9000 27 0 30
812 4 24 20 20 50 9000 22 0 200
813 7 18 20 20 50 9000 21 0 200
814 4 24 38 20 50 9000 32 0 30
815 4 24 5 20 50 11000 20 0 200
816 3 23 27 20 50 9000 21 1 200
817 7 20 31 20 50 9000 22 0 200
818 3 25 50 20 50 9000 34 0 30
819 7 19 13 20 50 9000 22 0 200
820 9 19 13 20 50 11000 15 1 200
821 3 17 50 20 50 9000 23 0 200
822 7 24 39 20 50 9000 24 0 200
823 2 22 9 20 50 9000 21 0 200
824 9 19 25 20 50 9000 35 0 30
825 2 21 16 20 50 11000 15 1 200
826 8 25 15 20 50 9000 27 0 30
827 7 21 22 20 50 9000 21 1 200
828 2 21 46 20 50 9000 21 0 200
829 5 22 27 20 50 9000 23 0 200
830 5 22 46 20 50 11000 18 0 200
831 9 25 5 20 50 9000 21 1 200
832 5 25 49 20 50 9000 28 0 30
833 7 23 46 20 50 9000 24 0 200
834 3 23 50 20 50 9000 29 0 30
835 7 19 49 20 50 11000 17 1 200
836 5 20 50 20 50 9000 25 0 30
837 8 24 5 20 50 9000 22 0 200
838 2 22 12 20 50 9000 21 1 200
839 6 19 29 20 50 9000 22 0 200
840 2 17 34 20 50 11000 17 0 200
841 9 21 44 20 50 9000 21 0 200
842 8 18 13 20 50 9000 37 1 30
843 2 20 50 20 50 9000 22 0 200
844 3 20 50 20 50 9000 24 0 200
845 6 24 7 20 50 11000 15 0 200
846 3 23 46 20 50 9000 23 0 200
847 4 20 38 20 50 9000 25 0 30
848 3 19 29 20 50 9000 21 1 200
849 4 19 9 20 50 9000 33 0 30
850 5 17 38 20 50 11000 16 0 200
851 6 19 30 20 50 9000 29 0 30
852 2 24 37 20 50 9000 22 0 200
853 7 21 40 20 50 9000 21 0 200
854 5 22 16 20 50 9000 21 0 200
855 8 22 7 20 50 11000 20 0 200
856 3 24 28 20 50 9000 31 0 30
857 1 21 35 20 50 9000 25 0 30
858 8 20 15 20 50 9000 28 0 30
859 9 17 41 20 50 9000 24 1 200
860 4 20 50 20 50 11000 15 0 200
861 2 25 50 20 50 9000 25 0 30
862 7 24 36 20 50 9000 23 1 200
863 9 24 39 20 50 9000 22 0 200
864 9 25 27 20 50 9000 23 0 200
865 1 20 4 20 50 11000 16 0 200
866 4 17 6 20 50 9000 22 1 200
867 2 25 17 20 50 9000 23 0 200
868 1 24 42 20 50 9000 24 0 200
869 9 22 26 20 50 9000 28 0 30
870 1 18 46 20 50 11000 18 1 200
871 2 21 4 20 50 9000 22 0 200
872 3 25 11 20 50 9000 22 0 200
873 2 21 50 20 50 9000 21 0 200
874 3 21 44 20 50 9000 22 0 200
875 3 17 5 20 50 11000 17 0 200
876 8 17 45 20 50 9000 25 1 30
877 9 19 50 20 50 9000 29 0 30
878 7 24 29 20 50 9000 21 0 200
879 2 23 17 20 50 9000 24 0 200
880 9 24 43 20 50 11000 16 0 200
881 2 25 12 20 50 9000 26 0 30
882 9 23 32 20 50 9000 24 0 200
883 7 18 39 20 50 9000 23 0 200
884 3 25 9 20 50 9000 28 1 30
885 6 17 44 20 50 11000 15 0 200
886 3 20 37 20 50 9000 25 0 30
887 6 19 37 20 50 9000 21 0 200
888 1 22 35 20 50 9000 21 0 200
889 3 22 50 20 50 9000 22 0 200
890 7 23 18 20 50 11000 20 1 200
891 7 17 10 20 50 9000 21 0 200
892 8 21 50 20 50 9000 23 1 200
893 1 21 29 20 50 9000 25 0 30
894 5 23 17 20 50 9000 25 0 30
895 7 23 34 20 50 11000 18 0 200
896 6 18 5 20 50 9000 32 0 30
897 7 25 21 20 50 9000 21 0 200
898 9 18 49 20 50 9000 21 0 200
899 6 23 37 20 50 9000 26 0 30
900 3 19 8 20 50 11000 19 1 200
901 1 24 9 20 50 9000 33 0 30
902 1 25 36 20 50 9000 22 0 200
903 2 18 12 20 50 9000 30 0 30
904 7 24 31 20 50 9000 26 0 30
905 3 22 50 20 50 11000 18 0 200
906 3 24 50 20 50 9000 21 0 200
907 9 22 43 20 50 9000 24 0 200
908 4 19 17 20 50 9000 22 0 200
909 6 18 40 20 50 9000 21 0 200
910 3 20 14 20 50 11000 15 0 200
911 9 20 50 20 50 9000 26 0 30
912 4 22 50 20 50 9000 21 0 200
913 1 21 50 20 50 9000 27 0 30
914 6 24 15 20 50 9000 24 0 200
915 4 17 12 20 50 11000 17 0 200
916 8 20 34 20 50 9000 32 0 30
917 1 25 21 20 50 9000 21 1 200
918 5 17 19 20 50 9000 22 0 200
919 6 24 32 20 50 9000 21 0 200
920 2 24 29 20 50 11000 19 0 200
921 9 17 23 20 50 9000 21 1 200
922 3 25 16 20 50 9000 29 0 30
923 7 20 15 20 50 9000 33 1 30
924 4 18 27 20 50 9000 22 0 200
925 4 20 26 20 50 11000 18 1 200
926 2 24 50 20 50 9000 31 0 30
927 1 25 44 20 50 9000 30 1 30
928 9 21 46 20 50 9000 24 1 200
929 1 25 14 20 50 9000 22 0 200
930 2 17 29 20 50 11000 16 0 200
931 9 24 50 20 50 9000 24 0 200
932 3 22 50 20 50 9000 23 0 200
933 8 24 50 20 50 9000 22 0 200
934 5 20 21 20 50 9000 21 0 200
935 7 20 25 20 50 11000 17 1 200
936 9 23 50 20 50 9000 26 1 30
937 7 17 32 20 50 9000 22 0 200
938 9 23 41 20 50 9000 21 0 200
939 7 24 13 20 50 9000 22 0 200
940 2 22 9 20 50 11000 15 1 200
941 4 23 41 20 50 9000 21 0 200
942 9 20 43 20 50 9000 26 0 30
943 7 20 6 20 50 9000 28 0 30
944 2 22 33 20 50 9000 21 0 200
945 3 23 25 20 50 11000 18 0 200
946 2 18 5 20 50 9000 26 1 30
947 7 22 15 20 50 9000 23 0 200
948 4 21 11 20 50 9000 21 0 200
949 6 24 50 20 50 9000 31 1 30
950 7 18 20 20 50 11000 19 1 200
951 9 24 50 20 50 9000 30 0 30
952 4 20 26 20 50 9000 21 0 200
953 8 19 50 20 50 9000 24 0 200
954 3 21 22 20 50 9000 22 0 200
955 1 17 43 20 50 11000 19 0 200
956 7 25 50 20 50 9000 21 0 200
957 8 25 29 20 50 9000 30 0 30
958 5 21 49 20 50 9000 24 0 200
959 1 17 42 20 50 9000 36 0 30
960 8 21 26 20 50 11000 16 1 200
961 1 25 47 20 50 9000 37 0 30
962 5 19 31 20 50 9000 21 0 200
963 6 18 6 20 50 9000 21 0 200
964 6 21 47 20 50 9000 21 1 200
965 3 22 11 20 50 11000 19 0 200
966 5 23 2 20 50 9000 22 0 200
967 9 19 31 20 50 9000 23 0 200
968 6 25 32 20 50 9000 23 0 200
969 7 18 42 20 50 9000 22 0 200
970 5 21 2 20 50 11000 17 0 200
971 5 19 50 20 50 9000 24 0 200
972 8 24 13 20 50 9000 21 0 200
973 8 20 4 20 50 9000 23 0 200
974 1 22 9 20 50 9000 21 0 200
975 8 22 50 20 50 11000 16 1 200
976 1 17 50 20 50 9000 22 0 200
977 9 25 30 20 50 9000 21 0 200
978 2 20 7 20 50 9000 24 1 200
979 6 24 41 20 50 9000 24 0 200
980 1 23 36 20 50 11000 19 0 200
981 7 21 42 20 50 9000 34 0 30
982 7 18 28 20 50 9000 21 0 200
983 2 24 14 20 50 9000 29 0 30
984 7 18 50 20 50 9000 22 0 200
985 2 19 7 20 50 11000 19 0 200
986 4 20 29 20 50 9000 23 0 200
987 9 21 26 20 50 9000 23 0 200
988 1 17 37 20 50 9000 25 0 30
989 4 18 30 20 50 9000 23 1 200
990 6 25 16 20 50 11000 15 0 200
991 2 22 50 20 50 9000 22 1 200
992 9 23 50 20 50 9000 26 0 30
993 1 25 50 20 50 9000 23 0 200
994 2 21 8 20 50 9000 22 0 200
995 6 17 4 20 50 11000 19 0 200
996 7 17 10 20 50 9000 24 0 200
997 3 25 47 20 50 9000 22 0 200
998 6 24 34 20 50 9000 23 0 200
999 5 18 22 20 50 9000 26 0 30
1000 7 21 14 20 50 11000 19 0 200
